,MSA,Notes,Quarter,Rate,Year,period
217,Tampa-St,,3,,2015,2015-03-01 00:00:00
218,"Toledo, OH",,3,,2015,2015-03-01 00:00:00
219,"Tucson, AZ ",,3,,2015,2015-03-01 00:00:00
220,"Tulsa, OK",,3,,2015,2015-03-01 00:00:00
221,"Urban Honolulu, HI",,3,,2015,2015-03-01 00:00:00
222,"Virginia Beach-Norfolk-Newport News, VA-NC",,3,,2015,2015-03-01 00:00:00
223,"Washington-Arlington-Alexandria, DC-VA-MD-WV",,3,,2015,2015-03-01 00:00:00
224,"Worcester, MA",,3,,2015,2015-03-01 00:00:00
225,"Akron, OH ",,4,,2015,2015-04-01 00:00:00
226,"Albany-Schenectady-Troy, NY ",,4,,2015,2015-04-01 00:00:00
227,"Alburquerque, NM",,4,,2015,2015-04-01 00:00:00
228,"Allentown-Bethlehem-Easton, PA-NJ",,4,,2015,2015-04-01 00:00:00
229,"Atlanta-Sandy Springs-Roswell, GA",,4,,2015,2015-04-01 00:00:00
230,"Austin-Round Rock, TX",,4,,2015,2015-04-01 00:00:00
231,"Baltimore-Columbia-Towson, MD",,4,,2015,2015-04-01 00:00:00
232,"Baton Rouge, LA",,4,,2015,2015-04-01 00:00:00
233,"Birmingham-Hoover, AL",,4,,2015,2015-04-01 00:00:00
234,"Boston-Cambridge-Newton, MA-NH",,4,,2015,2015-04-01 00:00:00
235,"Bridgeport-Stamford-Norwalk, CT",,4,,2015,2015-04-01 00:00:00
236,"Buffalo-Cheektowaga-Niagra Falls, NY",,4,,2015,2015-04-01 00:00:00
237,"Cape Coral-Fort Myers, FL",,4,,2015,2015-04-01 00:00:00
238,"Charleston-North Charleston-Summerville, SC",,4,,2015,2015-04-01 00:00:00
239,"Charlotte-Concord-Gastonia, NC-SC",,4,,2015,2015-04-01 00:00:00
240,"Chicago-Naperville-Elgin, IL-IN-WI",,4,,2015,2015-04-01 00:00:00
241,"Cincinnati, OH-KY-IN",,4,,2015,2015-04-01 00:00:00
242,"Cleveland-Elyria, OH",,4,,2015,2015-04-01 00:00:00
243,"Columbia, SC",,4,,2015,2015-04-01 00:00:00
244,"Columbus, OH",,4,,2015,2015-04-01 00:00:00
245,Dallas-Ft,,4,,2015,2015-04-01 00:00:00
246,"Dayton, OH",,4,,2015,2015-04-01 00:00:00
247,"Denver-Aurora-Lakewood, CO",,4,,2015,2015-04-01 00:00:00
248,"Detroit-Warren-Dearborn, MI",,4,,2015,2015-04-01 00:00:00
249,"Fresno, CA",,4,,2015,2015-04-01 00:00:00
250,"Grand Rapids-Wyoming, MI",,4,,2015,2015-04-01 00:00:00
251,"Greensboro-High Point, NC",,4,,2015,2015-04-01 00:00:00
252,"Hartford-West Hartford-East Hartford, CT",,4,,2015,2015-04-01 00:00:00
253,"Houston-The Woodlands-Sugar Land, TX",,4,,2015,2015-04-01 00:00:00
254,"Indianapolis-Carmel-Anderson, IN",,4,,2015,2015-04-01 00:00:00
255,"Jacksonville, FL",,4,,2015,2015-04-01 00:00:00
256,"Kansas City, MO-KS",,4,,2015,2015-04-01 00:00:00
257,"Knoxville, TN",,4,,2015,2015-04-01 00:00:00
258,"Las Vegas-Henderson-Paradise, NV",,4,,2015,2015-04-01 00:00:00
259,"Little Rock-North Little Rock-Conway, AR",,4,,2015,2015-04-01 00:00:00
260,"Los Angeles-Long Beach-Anaheim, CA",,4,,2015,2015-04-01 00:00:00
261,"Louisville/Jefferson County, KY-IN",,4,,2015,2015-04-01 00:00:00
262,"Memphis, TN-AR-MS",,4,,2015,2015-04-01 00:00:00
263,"Miami-Fort Lauderdale-West Palm Beach, FL",,4,,2015,2015-04-01 00:00:00
